,mean_F7,max_F7,min_F7,std_F7,iqr_F7,var_F7,sum_F7,skw_F7,krt_F7,mean_first_diff_F7,mean_second_diff_F7,rms_F7,abssum_F7,ssi_F7,var_F7.1,mav_F7,log_F7,aac_F7,dasdv_F7,dfa_F7,fuzzy_F7,shannon_F7,pe_F7,hjorth_F7,hurst_F7,label
71,1.0,1.0,0.06923840861885655,1.0,1.0,1.0,1.0,0.7590562855636497,0.4596631701384075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06589165343828911,0.6481801984021667,0.84195925227641,0.5525199706928042,0.23809176995075826,3
58,1.0,1.0,0.1676156709507123,1.0,1.0,1.0,1.0,0.7946102711614785,0.50372336163356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8417711547220853,0.08296512234941769,0.5176987094989813,1.0,0.9305116213255645,0.028701336847243266,1
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7147140258221468,0.3416754748640416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02392277350996135,0.23454583255966413,0.30102999566398125,0.542373832173222,0.23323534387193648,3
56,1.0,1.0,0.04457355747640219,1.0,1.0,1.0,1.0,0.6771099721762657,0.28822925758662593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09114777515227959,0.6481801984021667,0.8513296575220325,0.5332369998740577,0.0,1
62,1.0,1.0,0.07177325584211945,1.0,1.0,1.0,1.0,0.7405572529936396,0.43387895106126223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.061480126858161226,0.5455680346322467,0.887113751626007,0.48824001033564357,0.25213826860078986,3
55,1.0,1.0,0.04457355747640219,1.0,1.0,1.0,1.0,0.7695452701974435,0.44123005308729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8812247412222015,0.08783836008830508,0.5176987094989813,0.8509607264512279,0.9127446885732846,0.10563660418179141,1
67,1.0,1.0,0.09425646923891147,1.0,1.0,1.0,1.0,0.8566553356849973,0.7367604321538586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9685518927157978,1.0,1.0,1.0,0.0668942903302905,0.3238575153004576,0.8102922513414887,0.9819270956373971,0.0719397360498549,3
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7946370337809397,0.44669027160047864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.041208058394487254,0.23454583255966413,0.30102999566398125,0.6625498531946736,0.19447525315960335,1
52,1.0,1.0,0.13416308350638947,1.0,1.0,1.0,1.0,0.891773922277531,0.8507879819482289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06271156863936134,0.0,0.8991255257574648,0.9470152096013275,0.11016143463268221,1
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6955331426820978,0.35416685507059986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1123900882061025,0.23454583255966413,0.30102999566398125,0.2527919397219765,0.18626506795292155,3
